id,condition,other,block,display,loop,outcome,cue,lr,vividness,rating,confidence,check,lr_other,duration,gender,gender_text,age,race,race_text,hispanic,education,visual_verbal,feedback,CheckQ1,CheckQ1Again,CheckQ2,CheckQ2Again,CheckQ3,CheckQ3Again,catch,attn_check
R_1QcKka5yAJ5g3ka,goalie,the ball,1,up,1,Score,Remember,right,80.139,100,100,left,left,2196,Female,NA,36,White/Caucasian,NA,No,2 year degree,4.059,NA,Think about and visualize how ${e://Field/Condition} just moved.,NA,Think about and visualize what would have happened if ${e://Field/Condition} had moved in the other direction.,NA,Think about and visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.,NA,IM_74Ef0wh1bD6qdZb,Yes
R_1QcKka5yAJ5g3ka,goalie,the ball,1,up,2,Score,What If?,right,73.52,0.42,98.73,left,left,2196,Female,NA,36,White/Caucasian,NA,No,2 year degree,4.059,NA,Think about and visualize how ${e://Field/Condition} just moved.,NA,Think about and visualize what would have happened if ${e://Field/Condition} had moved in the other direction.,NA,Think about and visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.,NA,IM_74Ef0wh1bD6qdZb,Yes
R_1QcKka5yAJ5g3ka,goalie,the ball,1,up,3,Score,Cause,right,96.055,97.604,97.181,left,left,2196,Female,NA,36,White/Caucasian,NA,No,2 year degree,4.059,NA,Think about and visualize how ${e://Field/Condition} just moved.,NA,Think about and visualize what would have happened if ${e://Field/Condition} had moved in the other direction.,NA,Think about and visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.,NA,IM_74Ef0wh1bD6qdZb,Yes
R_1QcKka5yAJ5g3ka,goalie,the ball,1,up,4,Miss,Remember,right,96.617,99.576,100,right,right,2196,Female,NA,36,White/Caucasian,NA,No,2 year degree,4.059,NA,Think about and visualize how ${e://Field/Condition} just moved.,NA,Think about and visualize what would have happened if ${e://Field/Condition} had moved in the other direction.,NA,Think about and visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.,NA,IM_74Ef0wh1bD6qdZb,Yes
R_1QcKka5yAJ5g3ka,goalie,the ball,1,up,5,Miss,What If?,left,94.505,98.872,97.323,left,left,2196,Female,NA,36,White/Caucasian,NA,No,2 year degree,4.059,NA,Think about and visualize how ${e://Field/Condition} just moved.,NA,Think about and visualize what would have happened if ${e://Field/Condition} had moved in the other direction.,NA,Think about and visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.,NA,IM_74Ef0wh1bD6qdZb,Yes
R_1QcKka5yAJ5g3ka,goalie,the ball,1,up,6,Miss,Cause,left,86.336,94.224,92.534,left,left,2196,Female,NA,36,White/Caucasian,NA,No,2 year degree,4.059,NA,Think about and visualize how ${e://Field/Condition} just moved.,NA,Think about and visualize what would have happened if ${e://Field/Condition} had moved in the other direction.,NA,Think about and visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.,NA,IM_74Ef0wh1bD6qdZb,Yes
R_1QcKka5yAJ5g3ka,goalie,the ball,1,up,7,Score,Remember,right,98.872,99.716,100,left,left,2196,Female,NA,36,White/Caucasian,NA,No,2 year degree,4.059,NA,Think about and visualize how ${e://Field/Condition} just moved.,NA,Think about and visualize what would have happened if ${e://Field/Condition} had moved in the other direction.,NA,Think about and visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.,NA,IM_74Ef0wh1bD6qdZb,Yes
R_1QcKka5yAJ5g3ka,goalie,the ball,1,up,8,Score,What If?,right,91.97,7.181,73.942,left,left,2196,Female,NA,36,White/Caucasian,NA,No,2 year degree,4.059,NA,Think about and visualize how ${e://Field/Condition} just moved.,NA,Think about and visualize what would have happened if ${e://Field/Condition} had moved in the other direction.,NA,Think about and visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.,NA,IM_74Ef0wh1bD6qdZb,Yes
R_1QcKka5yAJ5g3ka,goalie,the ball,1,up,9,Score,Cause,right,73.802,84.506,88.027,left,left,2196,Female,NA,36,White/Caucasian,NA,No,2 year degree,4.059,NA,Think about and visualize how ${e://Field/Condition} just moved.,NA,Think about and visualize what would have happened if ${e://Field/Condition} had moved in the other direction.,NA,Think about and visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.,NA,IM_74Ef0wh1bD6qdZb,Yes
R_1QcKka5yAJ5g3ka,goalie,the ball,1,up,10,Miss,Remember,left,99.716,0.562,99.294,left,left,2196,Female,NA,36,White/Caucasian,NA,No,2 year degree,4.059,NA,Think about and visualize how ${e://Field/Condition} just moved.,NA,Think about and visualize what would have happened if ${e://Field/Condition} had moved in the other direction.,NA,Think about and visualize whether ${e://Field/Condition}'s movement caused the ball to score or not score.,NA,IM_74Ef0wh1bD6qdZb,Yes
