condition,severity_action
Forgiveness,1
Forgiveness,1
Forgiveness,1
Forgiveness,1
Forgiveness,1
Forgiveness,1
Forgiveness,1
Forgiveness,2
Forgiveness,2
Forgiveness,2
Forgiveness,2
Forgiveness,2
Forgiveness,2
Forgiveness,2
Forgiveness,2
Forgiveness,2
Forgiveness,2
Forgiveness,2
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,3
Forgiveness,4
Forgiveness,4
Forgiveness,4
Forgiveness,4
Forgiveness,4
Forgiveness,4
Forgiveness,4
Forgiveness,4
Forgiveness,4
Forgiveness,4
Forgiveness,4
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,5
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,6
Forgiveness,7
Forgiveness,7
Forgiveness,7
Forgiveness,7
Forgiveness,7
Forgiveness,7
Forgiveness,7
No forgiveness,1
No forgiveness,2
No forgiveness,2
No forgiveness,2
No forgiveness,2
No forgiveness,2
No forgiveness,2
No forgiveness,3
No forgiveness,3
No forgiveness,3
No forgiveness,3
No forgiveness,3
No forgiveness,3
No forgiveness,3
No forgiveness,3
No forgiveness,4
No forgiveness,4
No forgiveness,4
No forgiveness,4
No forgiveness,4
No forgiveness,4
No forgiveness,4
No forgiveness,4
No forgiveness,4
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,5
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,6
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
No forgiveness,7
